movie_id,genre_id
499549,1
499549,2
499549,3
499549,4
449088,1
449088,2
449088,3
2379713,1
2379713,2
2379713,5
1345836,1
1345836,5
5289954,6
401729,1
401729,2
401729,4
398286,2
398286,7
398286,8
398286,9
398286,3
398286,10
398286,11
2395427,1
2395427,2
2395427,4
417741,2
417741,9
417741,3
417741,12
2975590,1
2975590,2
2975590,4
348150,1
348150,2
348150,4
830515,1
830515,2
383574,1
383574,2
383574,3
1210819,1
1210819,2
1210819,13
770828,1
770828,2
770828,3
770828,4
499448,1
499448,2
499448,9
499448,3
1298650,1
1298650,2
1298650,3
1409024,1
1409024,2
1409024,8
1409024,9
1409024,3
1409024,4
2310332,2
2310332,3
948470,1
948470,2
948470,3
955308,1
955308,2
955308,14
955308,15
1170358,2
1170358,3
385752,2
385752,9
385752,3
120338,14
120338,11
3498820,1
3498820,2
3498820,4
1440129,1
1440129,2
1440129,4
1440129,5
369610,1
369610,2
369610,4
369610,5
316654,1
316654,2
316654,3
316654,11
1300854,1
1300854,2
1300854,4
376994,1
376994,2
376994,3
376994,4
376994,5
1453405,2
1453405,7
1453405,8
1453405,9
1453405,3
1055369,1
1055369,2
1055369,4
2109248,1
2109248,2
2109248,4
1872181,1
1872181,2
1872181,3
1872181,4
1216475,2
1216475,7
1216475,8
1216475,9
1216475,16
1133985,1
1133985,2
1133985,4
435761,2
435761,7
435761,8
435761,9
435761,3
438488,1
438488,2
438488,4
2820852,1
2820852,17
2820852,5
816711,1
816711,2
816711,18
816711,4
816711,5
1877832,1
1877832,2
1877832,3
1877832,4
1877832,5
1408101,1
1408101,2
1408101,4
1351685,2
1351685,3
473075,1
473075,2
473075,3
473075,11
1663662,1
1663662,2
1663662,4
1399103,1
1399103,2
1399103,4
367882,1
367882,2
367882,3
1979388,2
1979388,7
1979388,8
1979388,9
1979388,3
1217209,2
1217209,7
1217209,8
1217209,9
1217209,3
2660888,1
2660888,2
2660888,4
2660888,5
910970,2
910970,7
910970,9
910970,4
293564,1
293564,8
293564,17
293564,5
1190080,1
1190080,2
1190080,4
1067106,7
1067106,14
1067106,9
1067106,3
1617661,1
1617661,2
1617661,4
363771,2
363771,9
363771,3
3385516,1
3385516,2
3385516,4
468569,1
468569,17
468569,14
468569,5
1049413,2
1049413,7
1049413,8
1049413,9
892782,1
892782,2
892782,7
892782,8
892782,9
892782,4
371746,1
371746,2
371746,4
970179,2
970179,14
970179,9
970179,12
120891,1
120891,8
120891,4
120891,13
859163,1
859163,2
859163,3
859163,18
859163,5
1386697,1
1386697,2
1386697,8
1386697,4
413099,8
413099,9
413099,3
1631867,1
1631867,2
1631867,4
114898,1
114898,2
114898,4
114898,5
1046173,1
1046173,2
1046173,4
1046173,5
2096673,2
2096673,7
2096673,8
2096673,14
2096673,9
2096673,3
1228705,1
1228705,2
1228705,4
1735898,1
1735898,2
1735898,14
1735898,3
1587310,1
1587310,2
1587310,9
1587310,3
1587310,11
2103281,1
2103281,2
2103281,14
2103281,4
1335975,1
1335975,2
1335975,14
1335975,3
1843866,1
1843866,2
1843866,4
892791,2
892791,7
892791,8
892791,9
892791,3
1964418,1
1964418,2
1964418,9
1964418,12
1964418,4
2245084,1
2245084,2
2245084,7
2245084,8
2245084,14
2245084,9
2245084,4
1772341,2
1772341,7
1772341,8
1772341,9
1772341,4
338348,2
338348,7
338348,9
338348,3
1628841,1
1628841,2
1628841,4
892769,2
892769,7
892769,9
892769,3
181852,1
181852,4
2015381,1
2015381,2
2015381,4
816692,2
816692,14
816692,4
1375666,1
1375666,2
1375666,4
1375666,5
903624,2
903624,3
421715,14
421715,3
421715,11
1270798,1
1270798,2
1270798,4
1951266,2
1951266,4
963966,1
963966,2
963966,9
963966,3
409182,1
409182,2
409182,14
409182,5
2567026,2
2567026,9
2567026,3
413267,2
413267,7
413267,8
413267,9
413267,3
803096,1
803096,2
803096,3
1340138,1
1340138,2
1340138,4
980970,2
980970,9
980970,3
213149,1
213149,14
213149,15
213149,11
213149,19
418279,1
418279,2
418279,4
346491,1
346491,2
346491,20
346491,14
346491,15
346491,11
346491,19
373889,2
373889,9
373889,3
373889,12
330373,2
330373,9
330373,3
330373,12
448157,1
448157,14
480249,14
480249,18
480249,4
367594,2
367594,8
367594,9
367594,3
382932,7
382932,8
382932,9
382932,3
372784,1
372784,2
479952,1
479952,2
479952,7
479952,8
479952,9
1078912,2
1078912,8
1078912,9
1078912,3
458525,1
458525,2
458525,3
458525,4
458525,5
242653,1
242653,4
2294629,2
2294629,7
2294629,8
2294629,9
2294629,3
2294629,10
234215,1
234215,4
1981115,1
1981115,2
1981115,3
