director_id,director_name
308,Doug Lefler
309,Scott Waugh
310,Lawrence Kasdan
311,Michael Lembeck
312,Tom Hooper
313,Nora Ephron
314,Clint Eastwood
315,Larry Charles
316,Stanley Kubrick
317,Will Gluck
318,Glenn Ficarra
319,David S. Goyer
320,John Milius
321,Taylor Hackford
322,Michael Lehmann
323,Stuart Beattie
324,Roman Polanski
325,Frank Miller
326,Baltasar Kormákur
327,Daniel Lee
328,Keenen Ivory Wayans
329,Rob Reiner
330,Marco Schnabel
331,Demian Lichtenstein
332,Josh Gordon
333,Tim Hill
334,David Frankel
335,Brenda Chapman
336,Marc Lawrence
337,Peter Billingsley
338,Wes Ball
339,Ryan Murphy
340,Robert Redford
341,Jay Russell
342,Kenny Ortega
343,David McNally
344,Brian Robbins
345,Brian Levant
346,Steven Zaillian
347,Chris Butler
348,Jon Avnet
349,Sam Fell
350,Kevin Donovan
351,Geoff Murphy
352,David O. Russell
353,Babak Najafi
354,Jean-Pierre Jeunet
355,Graham Annable
356,Griffin Dunne
357,John Pasquin
358,Ruben Fleischer
359,Harold Ramis
360,Kevin Macdonald
361,Donald Petrie
362,Jorge Blanco
363,Stuart Baird
364,Joel Coen
365,Robert Lorenz
366,Joe Wright
367,Scott Stewart
368,Patrick Gilmore
369,Tony Bill
370,Rod Lurie
371,Walter Hill
372,Akiva Goldsman
373,Harald Zwart
374,Walter Salles
375,Iain Softley
376,David Koepp
377,Uwe Boll
378,Pou-Soi Cheang
379,John Dahl
380,Tim Miller
381,Stephen Herek
382,Peter MacDonald
383,Anthony Hemingway
384,Sean Anders
385,Mark Neveldine
386,John Madden
387,Kevin Bray
388,Mike Gabriel
389,Sam Weisman
390,Jesse Dylan
391,Wayne Wang
392,Gabriele Muccino
393,Tom Dey
394,Jimmy Hayward
395,Alan Parker
396,John Frankenheimer
397,Paul King
398,William Friedkin
399,Kent Alterman
400,Peter Lord
401,Shekhar Kapur
402,Karyn Kusama
403,Ron Maxwell
404,Robert Butler
405,Karey Kirkpatrick
406,Steve Antin
407,Jim Gillespie
408,Francis Ford Coppola
409,Richard Lester
410,Harold Becker
411,Scott Cooper
412,Robert Rodriguez
413,Curtis Hanson
414,Phyllida Lloyd
415,Jay Chandrasekhar
416,Terrence Malick
417,David Dobkin
418,Milos Forman
419,Pierre Morel
420,Paul Hunter
421,Steve Oedekerk
422,John Whitesell
423,George Nolfi
424,Neil Jordan
425,Rawson Marshall Thurber
426,Spike Lee
427,Brian Helgeland
428,Frank Marshall
429,Hideo Nakata
430,Peter Hewitt
431,Joe Roth
432,Bennett Miller
433,Jaume Collet-Serra
434,Andy Fickman
435,James McTeigue
436,Matthew O'Callaghan
437,Angela Robinson
438,Gary Fleder
439,Tommy Wirkola
440,Adrian Lyne
441,Jorge R. Gutiérrez
442,Richard Loncraine
443,Christophe Gans
444,Howard Deutch
445,Jon Hurwitz
446,Steven Quale
447,John Landis
448,Alexander Witt
449,Beeban Kidron
450,Carl Franklin
451,Steven Seagal
452,Danny Boyle
453,Andrew Bergman
454,Peter Webber
455,Andrew Niccol
456,John Carpenter
457,Wes Anderson
458,David Cronenberg
459,John Stockwell
460,David Gordon Green
461,Jim Sheridan
462,Costa-Gavras
463,Patrick Read Johnson
464,Roland Joffé
465,Richard LaGravenese
466,Danny DeVito
467,George Armitage
468,Patrick Lussier
469,James Wong
470,Richard Curtis
471,Chuck Bowman
472,Olivier Megaton
473,Deepa Mehta
474,Warren Beatty
475,Penny Marshall
476,Andrei Tarkovsky
477,Paul Bolger
478,Stephen Frears
479,P.J. Hogan
480,Brad Furman
481,Terence Young
482,David Zucker
483,Denis Villeneuve
484,Thomas Carter
485,Roger Michell
486,Luis Llosa
487,Melville Shavelson
488,Garth Jennings
489,Joel Zwick
490,Russell Mulcahy
491,David R. Ellis
492,Peter Howitt
493,John A. Davis
494,David Lynch
495,Mathieu Kassovitz
496,John Gray
497,John Schultz
498,Sean Penn
499,Susan Stroman
500,Pete Travis
501,Simon Wincer
502,Billy Bob Thornton
503,Danny Pang
504,George P. Cosmatos
505,Oliver Parker
506,Lawrence Kasanoff
507,Ben Affleck
508,Brian Gibson
509,Norman Ferguson
510,Michael Cimino
511,Gus Van Sant
512,Roger Kumble
513,Burr Steers
514,John Hamburg
515,Reginald Hudlin
516,Paul Feig
517,Joseph L. Mankiewicz
518,Barbra Streisand
519,Mark Pellington
520,John Glen
521,Catherine Hardwicke
522,John Herzfeld
523,Annabel Jankel
524,Julie Anne Robinson
525,Evan Goldberg
526,Sngmoo Lee
527,Jamel Debbouze
528,Gordon Chan
529,Asger Leth
530,Anne Fletcher
531,Bruce Beresford
532,Sam Taylor-Johnson
533,Ken Kwapis
534,Wes Craven
535,Etan Cohen
536,Angelina Jolie Pitt
537,Nick Cassavetes
538,Nicholas Stoller
539,Mark A.Z. Dippé
540,Cal Brunker
541,Nimród Antal
542,Alejandro Agresti
543,Peter Hedges
544,Paul Weiland
545,Colin Strause
546,Joan Chen
547,Greg Mottola
548,Jake Kasdan
549,Diane Keaton
550,Kelly Makin
551,Stephen Daldry
552,Christian Duguay
553,Justin Chadwick
554,Pat O'Connor
555,Frederik Du Chau
556,Irwin Winkler
557,Joseph Kahn
558,Sofia Coppola
559,Barbet Schroeder
560,Stephen Kay
561,J.A. Bayona
562,Elaine May
563,Dennie Gordon
564,Charles Shyer
565,Ulu Grosbard
566,William Malone
567,Malcolm D. Lee
568,Jerry Jameson
569,Mic Rodgers
570,Christian Alvart
